# title: 石英样品 XRD 衍射图谱
# x_unit: 2θ (°)
# y_unit: 强度
10.0,12.5
10.5,11.8
11.0,13.2
11.5,12.9
12.0,14.1
12.5,13.5
13.0,12.8
13.5,13.3
14.0,14.5
14.5,13.8
15.0,14.2
15.5,13.6
16.0,14.8
16.5,15.2
17.0,14.5
17.5,15.8
18.0,16.2
18.5,15.5
19.0,18.5
19.5,22.3
20.0,35.8
20.5,42.6
20.87,45.0
21.0,44.2
21.5,28.5
22.0,18.2
22.5,15.8
23.0,14.5
23.5,13.8
24.0,14.2
24.5,15.6
25.0,22.8
25.5,45.6
26.0,78.5
26.5,98.2
26.64,100.0
27.0,92.5
27.5,65.8
28.0,38.2
28.5,22.5
29.0,16.8
29.5,14.5
30.0,13.2
30.5,12.8
31.0,13.5
31.5,14.2
32.0,15.8
32.5,17.2
33.0,14.8
33.5,13.5
34.0,12.8
34.5,12.2
35.0,11.8
35.5,13.6
36.0,16.8
36.5,12.5
36.54,12.5
37.0,10.8
37.5,9.5
38.0,8.2
38.5,7.5
39.0,8.5
39.5,7.0
39.46,7.0
40.0,5.8
40.29,3.5
40.5,4.2
41.0,5.6
41.5,4.8
42.0,3.8
42.45,3.1
42.5,3.2
43.0,4.5
43.5,5.2
44.0,4.8
44.5,3.5
45.0,2.8
45.5,2.2
45.79,1.7
46.0,1.9
46.5,2.5
47.0,3.8
47.5,5.2
48.0,6.8
48.5,7.2
49.0,6.5
49.5,5.8
49.93,6.5
50.0,6.2
50.14,8.0
50.5,7.5
51.0,6.8
51.5,5.2
52.0,4.5
52.5,3.8
53.0,3.2
53.5,2.8
54.0,2.5
54.5,2.0
54.85,1.7
55.0,1.8
55.32,1.6
55.5,1.9
56.0,2.5
56.5,3.2
57.0,2.8
57.5,2.4
58.0,2.1
58.5,2.5
59.0,2.8
59.5,2.5
59.97,2.2
60.0,2.3
60.38,2.8
60.5,2.6
61.0,2.4
61.5,2.2
62.0,2.0
62.5,1.8
63.0,1.6
63.5,1.4
64.0,1.2
64.07,1.1
64.5,1.3
65.0,1.8
65.5,2.2
66.0,2.8
66.5,3.2
67.0,2.8
67.5,2.5
67.74,2.5
68.0,2.6
68.12,2.7
68.5,2.5
69.0,2.2
69.5,1.8
70.0,1.5
