# title: SampleC XRD
10.0,9.04
10.5,7.03
11.0,6.84
11.5,7.32
12.0,6.36
12.5,9.92
13.0,10.40
13.5,6.90
14.0,6.99
14.5,12.13
15.0,12.77
15.5,7.93
16.0,5.57
16.5,8.06
17.0,6.59
17.5,5.99
18.0,4.91
18.5,5.49
19.0,5.80
19.5,10.32
20.0,17.79
20.5,28.72
21.0,31.54
21.5,21.60
22.0,8.95
22.5,5.83
23.0,6.47
23.5,5.70
24.0,7.65
24.5,7.91
25.0,10.62
25.5,11.22
26.0,33.79
26.5,59.35
27.0,48.09
27.5,16.99
28.0,9.65
28.5,4.42
29.0,7.79
29.5,9.39
30.0,8.14
30.5,7.67
31.0,8.15
31.5,9.02
32.0,5.94
32.5,8.96
33.0,8.35
33.5,8.63
34.0,8.65
34.5,7.86
35.0,8.65
35.5,8.99
36.0,7.25
36.5,8.02
37.0,4.93
37.5,7.54
38.0,8.00
38.5,8.16
39.0,9.26
39.5,10.02
40.0,8.46
40.5,6.66
41.0,7.44
41.5,6.48
42.0,8.79
42.5,6.08
43.0,7.61
43.5,8.70
44.0,10.33
44.5,7.87
45.0,8.70
45.5,8.43
46.0,7.87
46.5,7.15
47.0,6.53
47.5,8.41
48.0,6.71
48.5,10.05
49.0,5.88
49.5,10.16
50.0,8.98
50.5,6.83
51.0,7.38
51.5,8.95
52.0,7.93
52.5,9.40
53.0,8.46
53.5,7.60
54.0,5.08
54.5,7.42
55.0,8.41
55.5,7.96
56.0,10.18
56.5,7.39
57.0,7.55
57.5,6.73
58.0,8.64
58.5,8.04
59.0,6.59
59.5,8.90
60.0,9.03
60.5,7.55
61.0,7.02
61.5,8.39
62.0,9.29
62.5,7.80
63.0,8.62
63.5,8.00
64.0,8.75
64.5,10.42
65.0,7.71
65.5,8.94
66.0,6.95
66.5,7.20
67.0,7.19
67.5,8.05
68.0,6.31
68.5,10.60
69.0,6.10
69.5,6.35
